t;U
[s];[V]

0,000;0,06
0,005;0,05
0,010;0,19
0,015;0,05
0,020;-0,03
0,025;0,13
0,030;0,10
0,035;0,11
0,040;0,11
0,045;0,11
0,050;0,11
0,055;-0,02
0,060;0,08
0,065;0,11
0,070;0,06
0,075;0,14
0,080;0,18
0,085;0,22
0,090;0,11
0,095;0,10
0,100;0,14
0,105;0,08
0,110;0,06
0,115;0,00
0,120;0,10
0,125;0,11
0,130;0,06
0,135;0,03
0,140;0,10
0,145;0,08
0,150;0,05
0,155;-0,02
0,160;0,00
0,165;0,03
0,170;0,03
0,175;0,10
0,180;0,14
0,185;0,14
0,190;0,13
0,195;0,13
0,200;0,11
0,205;0,14
0,210;0,02
0,215;0,14
0,220;0,10
0,225;0,00
0,230;0,11
0,235;0,13
0,240;0,03
0,245;0,10
0,250;0,06
0,255;0,03
0,260;0,08
0,265;0,03
0,270;0,05
0,275;0,08
0,280;0,11
0,285;0,10
0,290;0,16
0,295;0,08
0,300;0,11
0,305;0,03
0,310;-0,03
0,315;0,10
0,320;0,02
0,325;0,03
0,330;0,16
0,335;0,10
0,340;0,02
0,345;0,11
0,350;0,03
0,355;0,10
0,360;0,05
0,365;0,10
0,370;0,03
0,375;0,11
0,380;0,16
0,385;0,00
0,390;0,11
0,395;0,13
0,400;0,18
0,405;0,03
0,410;0,02
0,415;0,11
0,420;0,08
0,425;0,13
0,430;0,05
0,435;0,10
0,440;0,14
0,445;0,16
0,450;0,10
0,455;0,18
0,460;0,14
0,465;-0,03
0,470;0,14
0,475;0,06
0,480;0,11
0,485;0,05
0,490;0,00
0,495;0,03
0,500;0,11
0,505;0,06
0,510;0,03
0,515;0,14
0,520;0,10
0,525;0,06
0,530;0,11
0,535;0,10
0,540;0,10
0,545;0,18
0,550;0,10
0,555;0,13
0,560;0,05
0,565;-0,02
0,570;-0,06
0,575;0,14
0,580;0,16
0,585;0,10
0,590;0,16
0,595;0,08
0,600;-0,03
0,605;0,05
0,610;0,21
0,615;0,06
0,620;0,13
0,625;0,13
0,630;0,08
0,635;0,03
0,640;0,13
0,645;0,08
0,650;0,10
0,655;0,06
0,660;0,11
0,665;0,11
0,670;0,05
0,675;0,00
0,680;0,16
0,685;0,11
0,690;0,03
0,695;0,11
0,700;0,14
0,705;0,03
0,710;0,03
0,715;0,11
0,720;0,14
0,725;0,03
0,730;0,03
0,735;0,11
0,740;0,11
0,745;-0,03
0,750;0,24
0,755;0,03
0,760;0,05
0,765;0,03
0,770;0,16
0,775;0,10
0,780;0,16
0,785;0,02
0,790;0,03
0,795;0,11
0,800;-0,02
0,805;0,06
0,810;-0,02
0,815;0,11
0,820;0,08
0,825;0,13
0,830;0,08
0,835;0,11
0,840;-0,03
0,845;0,02
0,850;0,06
0,855;0,03
0,860;0,11
0,865;0,14
0,870;0,11
0,875;0,05
0,880;0,05
0,885;0,11
0,890;0,11
0,895;-0,02
0,900;0,08
0,905;0,08
0,910;0,13
0,915;0,18
0,920;0,10
0,925;0,14
0,930;-0,02
0,935;0,16
0,940;0,10
0,945;0,08
0,950;0,10
0,955;-0,03
0,960;0,11
0,965;0,11
0,970;0,14
0,975;0,14
0,980;0,10
0,985;0,03
0,990;0,11
0,995;0,02
1,000;0,06
1,005;0,06
1,010;0,18
1,015;0,10
1,020;0,11
1,025;0,13
1,030;0,18
1,035;0,10
1,040;0,06
1,045;0,11
1,050;-0,03
1,055;0,11
1,060;0,18
1,065;0,14
1,070;0,06
1,075;-0,03
1,080;0,11
1,085;0,10
1,090;0,05
1,095;0,10
1,100;0,18
1,105;0,14
1,110;0,11
1,115;0,06
1,120;0,11
1,125;0,11
1,130;0,14
1,135;0,10
1,140;0,06
1,145;0,10
1,150;0,03
1,155;0,18
1,160;-0,02
1,165;0,06
1,170;0,08
1,175;0,08
1,180;0,08
1,185;0,18
1,190;0,06
1,195;-0,03
1,200;0,02
1,205;0,03
1,210;0,02
1,215;0,13
1,220;0,08
1,225;0,08
1,230;0,03
1,235;-0,02
1,240;0,02
1,245;0,14
1,250;0,02
1,255;0,10
1,260;0,03
1,265;0,03
1,270;0,11
1,275;0,06
1,280;0,11
1,285;0,11
1,290;0,10
1,295;0,08
1,300;0,11
1,305;0,03
1,310;0,10
